"hsn_sc_code","hsn_sc_desc"
"320611  ","Containing 80% or more by weight of titanium dioxide calculated on the dry matter:"
"32061110","Pearlsent pigment (Titanium dioxide, coated micananeous and lustres pearl pigment)"
"32061190","Other"
"32061900","Other"
"32062000","Pigments and preparations based on chromium compounds"
"32064100","Utramarine and preparations based thereon"
"32064200","Lithopone and other pigments and preparations based on zinc sulphide"
"320649  ","Other:"
"32064910","Red oxide"
"32064920","Persian red"
"32064930","Yellow ochre"
"32064940","Bronze powder"
"32064990","Other"
"32065000","Inorganic products of a kind used as luminophores"
"3207    ","PREPARED PIGMENTS, PREPARATED OPACIFIERS AND PREPARED COLOURS, VITRIFIABLE ENAMELS AND GLAZES, ENGOBES (SLIPS), LIQUID LUSTRES AND SIMILAR PREPARATIONS, OF A KIND USED IN THE CERAMIC ENAMELLING OR GLASS INDUSTRY; GLASS FRIT AND OTHER GLASS, IN THE FO"
"320710  ","Prepared pigments, prepared opacifiers, prepared colours and similar preparations:"
"32071010","Prepared organic dye-stuff pigments, dry"
"32071020","Prepared organic dye-stuff pigments, paste"
"32071030","Prepared inorganic pigments"
"32071040","Prepared opacifiers prepared colours and similar preparations"
"32071090","Other"
"320720  ","Vitrifiable enamels and glazes, engobes (slips) and similar preparations:"
"32072010","Vitrifiable enamels and glazes"
"32072020","Engobes (slips) and similar preparations"
"32073000","Liquid lustres and similar preparations"
"32074000","Glass frit and other glass, in the form of powder, granules or flakes"
"3208    ","PAINTS AND VARNISHES (INCLUDING ENAMELS AND LACQUERS) BASED ON SYNTHETIC POLYMERS OR CHEMICALLY MODIFIED NATURAL POLYMERS, DISPERSED OR DISSOLVED IN A NON-AQUEOUS MEDIUM; SOLUTIONS AS DEFINED IN NOTE 4 TO THIS CHAPTER"
"320810  ","Based on polyesters:"
"32081010","Enamels"
"32081020","Lacquers"
"32081030","Varnishes"
"32081090","Other"
"320820  ","Based on acrylic or vinyl polymers:"
"32082010","Enamels"
"32082020","Lacquers"
"32082030","Varnishes"
"32082090","Other"
"320890  ","Other:"
"32089011","Nitrocellulose lacquers"
"32089019","Other"
"32089021","Synthetic enamel, ultra white paints"
"32089022","Synthetic enamel, other colours"
"32089029","Other"
"32089030","Lacquers"
"32089041","Insulating varnish"
"32089049","Other"
"32089050","Slip agents"
"32089090","Other"
"3209    ","PAINTS AND VARNISHES (INCLUDING ENAMELS AND LACQUERS) BASED ON SYNTHETIC POLYMERS OR CHEMICALLY MODIFIED NATURAL POLYMERS, DISPERSED OR DISSOLVED IN AN AQUEOUS MEDIUM"
"320910  ","Based on acrylic or vinyl polymers:"
"32091010","Acrylic emulsion"
"32091090","Other"
"320990  ","Other:"
"32099010","Dispersion paints"
"32099020","Emulsion paints not elsewhere specified or included"
"32099090","Other"
"3210    ","OTHER PAINTS AND VARNISHES (INCLUDING ENAMELS, LACQUERS AND DISTEMPERS); PREPARED WATER PIGMENTS OF A KIND USED FOR FINISHING LEATHER"
"321000  ","Other paints and varnishes (including enamels, lacquers and distempers); prepared water pigments of a kind used for finishing leather:"
"32100011","Dry distemper, including cement based water paints"
"32100012","Oil bound distemper"
"32100019","Other"
"32100020","Prepared water pigments of a kind used for finishing leather"
"32100030","Metallic powder or flakes prepared as paints"
"32100040","Poly Tetra Fluoro Ethylene (PTFE) or Silicon resin based coating materials"
"32100090","Other"
"32110000","Prepared driers"
"3212    ","PIGMENTS (INCLUDING METALLIC POWDERS AND FLAKES) DISPERSED IN NON-AQUEOUS MEDIA, IN LIQUID OR PASTE FORM, OF A KIND USED IN THE MANUFACTURE OF PAINTS (INCLUDING ENAMELS); STAMPING FOILS; DYES AND OTHER COLOURING MATTER PUT UP IN FORMS OR PACKINGS FOR"
"32121000","Stamping foils"
"321290  ","Other:"
"32129010","Pigments in linseed oil, white spirit, spirit of turpentine, varnish and other paints or enamel media not elsewhere specified or included"
"32129020","Dyes and other colouring matter put up in forms or packings for retail sale"
"32129030","Aluminium paste"
"32129090","Other"
"3213    ","ARTISTS, STUDENTS, SIGNBOARD PAINTERS COLOURS, MODIFYING TINTS, AMUSEMENT COLOURS AND THE LIKE, IN TABLETS, TUBES, JARS, BOTTLES, PANS OR IN SIMILAR FORMS OR PACKINGS"
"32131000","Colours in sets"
"32139000","Other"
"3214    ","GLAZIERS PUTTY, GRAFTING PUTTY, RESIN CEMENTS, CAULKING COMPOUNDS AND OTHER MASTICS; PAINTERS’ FILLINGS; NON-REFRACTORY SURFACING PREPARATIONS FOR FACADES, INDOOR WALLS, FLOORS, CEILINGS OR THE LIKE"
"32141000","Glaziers’ putty, grafting putty, resin cements, caulking compounds and other mastics; painters’ fillings"
"321490  ","Other:"
"32149010","Non-refractory surfacing preparations"
"32149020","Resin cement"
"32149090","Other"
"3215    ","PRINTING INK, WRITING OR DRAWING INK AND OTHER INKS, WHETHER OR NOT CONCENTRATED OR SOLID"
"321511  ","Black:"
"32151110","Lithographic ink and jelly"
"32151120","Newspaper ink"
"32151130","Rotary ink"
"32151140","Screen printing ink"
"32151190","Other"
"321519  ","Other:"
"32151910","Lithographic ink and jelly"
"32151920","Newspaper ink"
"32151930","Rotary ink"
"32151940","Screen printing ink"
"32151990","Other"
"321590  ","Other:"
"32159010","Fountain pen ink"
"32159020","Ball pen ink"
"32159030","Indelible ink"
"32159040","Drawing ink"
"32159090","Other"
"3301    ","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY-PRODUCTS OF THE DE"
"33011200","Of orange"
"33011300","Of lemon"
"330119  ","Other:"
"33011910","Citronella oil"
"33011990","Other"
"330122  ","Of jasmin:"
"33012400","Of peppermint (Mentha piperita)"
"330125  ","Of other mints:"
"33012510","Spearmint oil (Ex-mentha spicata)"
"33012520","Water mint-oil (Ex-mentha aquatic)"
"33012530","Horsemint oil (Ex-mentha sylvestries)"
"33012540","Bergament oil (Ex-mentha citrate)"
"33012590","Other"
"330129  ","Other:"
"33012911","Anise oil (aniseed oil)"
"33012912","Cajeput oil"
"33012913","Cananga oil"
"33012914","Caraway oil"
"33012915","Cassia oil"
"33012916","Cedarwood oil"
"33012917","Cinnamon bark oil"
"33012918","Cinnamon leaf oil"
"33012921","Clove leaf or stem oil"
"33012922","Coriander seed oil"
"33012923","Dill oil (anethum oil)"
"33012924","Eucalyptus oil"
"33012925","Fennel seed oil"
"33012926","Ginger oil"
"33012927","Ginger grass oil"
"33012928","Clove bud oil"
"33012931","Tuberose concentrate"
"33012932","Nutmeg oil"
"33012933","Palmarosa oil"
"33012934","Patchouli oil"
"33012935","Pepper oil"
"33012936","Petitgrain oil"
"33012937","Sandalwood oil"
"33012938","Rose oil"
"33012941","Camphor oil"
"33012942","Lemon grass oil"
"33012943","Ylang ylang oil"
"33012944","Davana oil"
"33012945","Cumin oil"
"33012946","Celery seed oil"
"33012947","Garlic oil"
"33012948","Paprika oil"
"33012949","Turmeric oil"
"33012950","Spices oils not else where specified or included"
"33012990","Other"
"330130  ","Resinoids:"
"33013010","Agar oil"
"33013091","Flavouring essences, all types, including those for liquors"
"33013099","Other"
"330190  ","Other:"
"33019011","Fennugreek Oleoresins"
"33019012","Ginger Oleoresins"
"33019013","Pepper Oleoresins"
"33019014","Turmeric Oleoresins"
"33019015","Cardamom Oleoresins"
"33019016","Celery seed Oleoresins"
"33019017","Nutmeg Oleoresins"
"33019021","Clove Oleoresins"
"33019022","Capsicum Oleoresins"
"33019023","Coriander Oleoresins"
"33019024","Cumin Oleoresins"
"33019025","Fennel Oleoresins"
"33019029","Oleoresins of spices not elsewhere specified or included"
"33019031","Attars of all kinds in fixed oil base"
"33019032","Mustard oil aroma"
"33019033","Essence of ambrettolide (ambrette seed oil essence)"
"33019041","Flavouring essences, all types, including those for liquors"
"33019049","Other"
"33019051","Flavouring essences, all types, including those for liquors"
"33019059","Other"
"33019060","Aqueous distillates of essential oil, not elsewhere specified or included"
"33019071","Flavouring essences, all types, including those for liquors"
"33019079","Other"
"33019090","Other"
"3302    ","MIXTURES OF ODORIFEROUS SUBSTANCES AND MIXTURES (INCLUDING ALCOHOLIC SOLUTIONS) WITH A BASIS OF ONE OR MORE OF THESE SUBSTANCES, OF A KIND USED AS RAW MATERIALS IN INDUSTRY; OTHER PREPARATIONS BASED ON ODORIFEROUS SUBSTANCES, OF A KIND USED FOR THE M"
"330210  ","Of a kind used in the food or drink industries:"
"33021010","Synthetic flavouring essences"
"33021090","Other"
"330290  ","Other:"
"33029011","Synthetic perfumery compounds"
"33029012","Synthetic essential oil"
"33029019","Other"
"33029020","Aleuritic acid"
"33029090","Other"
"3303    ","PERFUMES AND TOILET WATERS"
"330300  ","Perfumes and toilet waters:"
"33030010","Eau-de-cologne"
"33030020","Rose water"
"33030030","Keora water"
"33030040","Perfumes and perfumery compounds not containing spirit (excluding aqueous distillates)"
"33030050","Perfumes containing spirit"
"33030060","Spirituous toilet preparations not elsewhere specified or included"
"33030090","Other"
"3304    ","BEAUTY OR MAKE-UP PREPARATIONS AND PREPARATIONS FOR THE CARE OF THE SKIN (OTHER THAN MEDICAMENTS), INCLUDING SUNSCREEN OR SUNTAN PREPARATIONS; MANICURE OR PEDICURE PREPARATIONS"
"33041000","Lip make-up preparations"
"33042000","Eye make-up preparations"
"33043000","Manicure or pedicure preparations"
"330491  ","Powders, whether or not compressed:"
"33049110","Face powders"
"33049120","Talcum powders"
"33049190","Other"
"330499  ","Other:"
"33049910","Face creams"
"33049920","Nail polish or lacquers"
"33049930","Moisturising lotion"
"33049940","Sindur, Bindi, Kum Kum"
"33049950","Turmeric preparations"
"33049990","Other"
"3305    ","Preparations for use on the hair"
"330510  ","Shampoos:"
"33051010","Containing spirit"
"33051090","Other"
"33052000","Preparations for permanent waving or straightening"
"33053000","Hair lacquers"
"330590  ","Other:"
"33059011","Perfumed"
"33059019","Other"
"33059020","Brilliantines (spirituous)"
"33059030","Hair cream"
"33059040","Hair dyes (natural, herbal or synthetic)"
"33059050","Hair fixers"
"33059090","Other"
"3306    ","PREPARATIONS FOR ORAL OR DENTAL HYGIENE, INCLUDING DENTURE FIXATIVE PASTES AND POWDERS; YARN USED TO CLEAN BETWEEN THE TEETH (DENTAL FLOSS), IN INDIVIDUAL RETAIL PACKAGES"
"330610  ","Dentifrices:"
"33061010","In powder"
"33061020","In paste"
"33061090","Other"
"33062000","Yarn used to clean between the teeth (dental floss)"
"33069000","Other"
"3307    ","PRE-SHAVE, SHAVING OR AFTER-SHAVE PREPARATIONS, PERSONAL DEODORANTS, BATH PREPARATIONS, DEPILATORIES AND OTHER PERFUMERY, COSMETIC OR TOILET PREPARATIONS, NOT ELSEWHERE SPECIFIED OR INCLUDED, PREPARED ROOM DEODORISERS, WHETHER OR NOT PERFUMED OR HAVI"
"330710  ","Pre-shave, shaving or after-shave preparations:"
"33071010","Shaving cream"
"33071090","Other"
"33072000","Personal deodorants and anti-perspirants"
"330730  ","Perfumed bath salts and other bath preparations:"
"33073010","Bath oil (thailam)"
"33073090","Other"
"33074100","“Agarbatti” and other odoriferous preparations which operate by burning"
"33074900","Other"
"330790  ","Other:"
"33079010","Depilatories"
"33079020","Sterile contact lens care solution"
"33079090","Other"
"3401    ","SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS AND PREPARATIONS FOR USE AS SOAP, IN THE FORM OF BARS, CAKES, MOULDED PIECES OR SHAPES, WHETHER OR NOT CONTAINING SOAP; ORGANIC SURFACE ACTIVE PRODUCTS AND PREPARATIONS FOR WASHING THE SKIN, IN THE FORM OF LIQUID"
"340111  ","For toilet use (including medicated products):"
"34011110","Medicated toilet soaps"
"34011120","Shaving soaps other than shaving cream"
"34011190","Other"
"340119  ","Other:"
"34011911","Industrial soap"
"34011919","Other"
"34011920","Flakes, chips and powder"
"34011930","Tablets and cakes"
"34011941","Household soaps"
"34011942","Laundry soaps"
"34011990","Other"
"34012000","Soap in other forms"
"340130  ","Organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap:"
"34013011","Medicated toilet soaps"
"34013012","Shaving cream and shaving gel"
"34013019","Other"
"34013090","Other"
"3402    ","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE-ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401"
"340211  ","Anionic:"
"34021110","Silicone surfactant"
"34021190","Other"
"34021200","Cationinc"
"34021300","Non-ionic"
"34021900","Other"
"340220  ","Preparations put up for retail sale:"
"34022010","Washing preparations (including auxiliary washing preparations) and cleaning preparations, having a basis of soap or other organic surface active agents"
"34022020","Cleaning or degreasing preparations not having a basis of soap or other organic surface active agents"
"34022090","Other"
"340290  ","Other:"
"34029011","Washing preparations (including auxiliary washing preparations) and cleaning preparations, having a basis of soap or other organic surface active agents"
"34029012","Cleaning or degreasing preparations not having a basis of soap or other organic surface active agents"
"34029019","Other"
"34029020","Sulphonated or sulphated or oxidised or chlorinated castor oil; Sulphonated or sulphated or oxidised or chlorinated fish oil; Sulphonated or sulphated or oxidised or chlorinated sperm oil; Sulphonated or sulphated or oxidised or chlorinated neats foo"
"34029030","Penetrators"
"34029041","Washing preparations (including auxiliary washing preparations) and cleaning preparations, having a basis of soap or other organic surface active agents"
"34029042","Cleaning or degreasing preparations not having a basis of soap or other organic surface active agents"
"34029049","Other"
"34029051","Washing preparations (including auxiliary washing preparations) and cleaning preparations, having a basis of soap or other organic surface active agents"
"34029052","Cleaning or degreasing preparations not having a basis of soap or other organic surface active agents"
"34029059","Other"
"34029091","Washing preparations (including auxiliary washing preparations) and cleaning preparations, having a basis of soap or other organic surface active agents"
"34029092","Cleaning or degreasing preparations not having a basis of soap or other organic surface active agents"
"34029099","Other"
"3403    ","LUBRICATING PREPARATIONS (INCLUDING CUTTING-OIL PREPARATIONS, BOLT OR NUT RELEASE PREPARATIONS, ANTI-RUST OR ANTI-CORROSION PREPARATIONS AND MOULD RELEASE PREPARATIONS, BASED ON LUBRICANTS) AND PREPARATIONS OF A KIND USED FOR THE OIL OR GREASE TREATM"
"34031100","Preparations for the treatment of textile materials, leather, furskins or other materials"
"34031900","Other"
"34039100","Preparations for the treatment of textile materials, leather, furskins or other materials"
"34039900","Other"
"3404    ","ARTIFICIAL WAXES AND PREPARED WAXES"
"34042000","Of poly(oxyethylene) (polyethylene glycol)"
"340490  ","Other:"
"34049010","Sealing wax (including bottle sealing wax) in sticks, cakes or similar forms"
"34049020","Polyethylene wax"
"34049031","Poly Brominated Biphenyls"
"34049032","Poly Chlorinated Biphenyls"
"34049033","Poly Chlorinated Terphenyls"
"34049039","Other"
"34049090","Other"
"3405    ","POLISHES AND CREAMS, FOR FOOTWEAR, FURNITURE,FLOORS, COACHWORK, GLASS OR METAL, SCOURING PASTES AND POWDERS AND SIMILAR PREPARATIONS (WHETHER OR NOT IN THE FORM OF PAPER, WADDING, FELT, NONWOVENS, CELLULAR PLASTICS OR CELLULAR RUBBER, IMPREGNATED, CO"
"34051000","Polishes, creams and similar preparations for footwear or leather"
"34052000","Polishes,creams and similar preparations for the maintenance of wooden furniture, floors or other wood work"
"34053000","Polishes and similar preparations for coach-work, other than metal polishes"
"34054000","Scouring pastes and powders and other scouring preparations"
"340590  ","Other:"
"34059010","Polishes and compositions for application to metal including diamond polishing powder or paste"
"34059090","Other"
"3406    ","CANDLES, TAPERS AND THE LIKE"
"340600  ","Candles, tapers and the like:"
"34060010","Candles"
"34060090","Other"
"3407    ","MODELLING PASTES, INCLUDING THOSE PUT UP FOR CHILDREN’S AMUSEMENT; PREPARATIONS KNOWN AS “DENTAL WAX” OR AS “DENTAL IMPRESSION COMPOUNDS”, PUT UP IN SETS, IN PACKINGS FOR RETAIL SALE OR IN PLATES, HORSESHOE SHAPES, STICKS OR SIMILAR FORMS; "
"340700  ","Modelling pastes, including those put up for children’s amusement; preparations known as “dental wax” or as “dental impression compounds”, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms; "
"34070010","Modelling pastes, including those put up for children’s amusement"
"34070090","Other"
"3501    ","CASEIN, CASEINATES AND OTHER CASEIN DERIVATIVES; CASEIN GLUES"
"35011000","Casein"
"35019000","Other"
"3502    ","ALBUMINS (INCLUDING CONCENTRATES OF TWO OR MORE WHEY PROTEINS, CONTAINING BY WEIGHT MORE THAN 80% WHEY PROTEINS, CALCULATED ON THE DRY MATTER), ALBUMINATES AND OTHER ALBUMIN DERIVATIVES"
"35021100","Dried"
"35021900","Other"
"35022000","Milk albumin, including concentrates of two or more whey proteins"
"35029000","Other"
"3503    ","GELATIN [INCLUDING GELATIN IN RECTANGULAR (INCLUDING SQUARE) SHEETS, WHETHER OR NOT SURFACE-WORKED OR COLOURED] AND GELATIN DERIVATIVES; ISINGLASS; OTHER GLUES OF ANIMAL ORIGIN, EXCLUDING CASEIN GLUES OF HEADING 3501"
"350300  ","Gelatin [including gelatin in rectangular (including square) sheets, whether or not surface-worked or coloured] and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading 3501:"
"35030010","Isinglass"
"35030020","Gelatin, edible grade and not elsewhere specified or included"
"35030030","Glues derived from bones, hides and similar items; fish glues"
"35030090","Other"
"3504    ","PEPTONES AND THEIR DERIVATIVES; OTHER PROTEIN SUBSTANCES AND THEIR DERIVATIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; HIDE POWDER, WHETHER OR NOT CHROMED"
"350400  ","Peptones and their derivatives; other protein substances and their derivatives, not elsewhere specified or included; hide powder, whether or not chromed:"
"35040010","Peptones"
"35040091","Isolated Soya protein"
"35040099","Others"
"3505    ","DEXTRINS AND OTHER MODIFIED STARCHES (FOR EXAMPLE, PREGELATINISED OR ESTERIFIED STARCHES); GLUES BASED ON STARCHES, OR ON DEXTRINS OR OTHER MODIFIED STARCHES"
"350510  ","Dextrins and other modified starches:"
"35051010","Esterified starches"
"35051090","Other"
"35052000","Glues"
"3506    ","PREPARED GLUES AND OTHER PREPARED ADHESIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; PRODUCTS SUITABLE FOR USE AS GLUES OR ADHESIVES, PUT UP FOR RETAIL SALE AS GLUES OR ADHESIVES, NOT EXCEEDING A NET WEIGHT OF 1 KG"
"35061000","Products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg."
"350691  ","Adhesives based on polymers of heading 39 01 to 39 13 or on rubber:"
"35069110","Based on latex, Phenol Formaldehyde (PF), Urea Formaldehyde (UF) and Polyvinyl Alcohol (PVA)"
"35069190","Other"
"350699  ","Other:"
"35069910","Synthetic glue with phenol urea or cresol (with formaldehyde) as the main component"
"35069991","Based on starch, gum, latex, PF, UF and PVA"
"35069999","Other"
"3507    ","ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED"
"350710  ","Rennet and concentrates thereof:"
"35071011","Animal rennet"
"35071019","Other"
"35071091","Animal rennet"
"35071099","Other"
"350790  ","Other:"
"35079010","Industrial enzymes (textile assistant)"
"35079020","Pancretin pure (excluding medicament)"
"35079030","Pepsin (excluding medicament)"
"35079040","Pectin esterases pure"
"35079050","Pectolytic enzyme (pectimase)"
"35079061","Streptokinase"
"35079062","Amylases enzymes"
"35079069","Other"
"35079071","Papain, pure, of pharmaceutical grade"
"35079079","Other"
"35079091","Enzymatic preparations containing food stuffs"
"35079099","Other"
"3601    ","PROPELLANT POWDERS"
"360100  ","Propellant powders:"
"36010010","Blasting powder"
"36010020","Gun powder"
"36010090","Other"
"3602    ","PREPARED EXPLOSIVES, OTHER THAN PROPELLANT POWDERS"
"360200  ","Prepared explosives, other than propellant powders:"
"36020010","Industrial explosives"
"36020090","Other"
"3603    ","SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETENATORS"
"360300  ","Safety fuses: detonating fuses; percussion or detonating caps; igniters; electric detonators:"
"36030011","For mine blasting"
"36030019","Other"
"36030020","Detonating fuses"
"36030031","Non-ordnance"
"36030039","Other"
"36030041","Non-ordnance"
"36030049","Other"
"36030051","Containing explosives electrically ignited, non-ordnance"
"36030059","Other"
"3604    ","FIREWORKS, SIGNALLING FLARES, RAIN ROCKETS, FOG SIGNALS AND OTHER PYROTECHNIC ARTICLES"
"36041000","Fireworks"
"360490  ","Other:"
"36049010","Ship signals"
"36049090","Other"
"3605    ","MATCHES; OTHER THAN PYROTECHNIC ARTICLES OF HEADING 3604"
"360500  ","Matches; other than pyrotechnic articles of Heading 3604:"
"36050010","Safety matches"
"36050090","Other"
"3606    ","FERRO-CERIUM AND OTHER PYROPHORIC ALLOYS IN ALL FORMS; ARTICLES OF COMBUSTIBLE MATERIALS AS SPECIFIED IN NOTE 2 TO THIS CHAPTER"
"36061000","Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette or similar lighters and of a capacity not exceeding 300 cm3"
"360690  ","Other:"
"36069010","Combustible preparations"
"36069091","Ferro-cerium, in all forms"
"36069092","Pyrophoric alloys, in all forms"
"36069093","DNPT (Dinitroso-penta-methylene tetramine)"
"36069099","Others"
"3701    ","PHOTOGRAPHIC PLATES AND FILM IN THE FLAT, SENSITISED, UNEXPOSED, OF ANY MATERIAL OTHER THAN PAPER, PAPERBOARD OR TEXTILES; INSTANT PRINT-FILM IN THE FLAT, SENSITISED, UNEXPOSED, WHETHER OR NOT IN PACKS"
"370110  ","For X-Ray:"
"37011010","Medical"
"37011090","Other"
"37012000","Instant print film"
"37013000","Other plates and film, with any side exceeding 255 mm"
"370191  ","For colour photography (Polychrome):"
"37019110","Cinematographic film"
"37019190","Other"
"370199  ","Other:"
"37019910","Cinematographic film"
"37019990","Other"
"3702    ","PHOTOGRAPHIC FILM IN ROLLS, SENSITISED, UNEXPOSED, OF ANY MATERIAL OTHER THAN PAPER, PAPERBOARD OR TEXTILES; INSTANT PRINT FILM IN ROLLS, SENSITISED, UNEXPOSED"
"37021000","For X-ray"
"370231  ","For colour photography (Polychrome):"
"37023110","Cinematographic film"
"37023190","Other"
"370232  ","Other, with silver halide emulsion:"
"37023210","Cinematographic film"
"37023290","Other"
"370239  ","Other:"
"37023910","Cinematographic film"
"37023990","Other"
"370241  ","Of a width exceeding 610 mm and of a length exceeding 200 m, for colour photography (Polychrome):"
"37024110","Cinematographic film"
"37024190","Other"
"370242  ","Of a width exceeding 610 mm and of a length exceeding 200 m, other than for colour photography:"
"37024210","Photographic film of a width 620 mm in rolls"
"37024220","Cinematographic film"
"37024290","Other"
"370243  ","Of a width exceeding 610 mm and of a length not exceeding 200 m:"
"37024310","Photographic films (Black and White) of a width 620 mm"
"37024320","Cinematographic film"
"37024390","Other"
"370244  ","Of a width exceeding 105 mm but not exceeding 610 mm:"
"37024410","Photographic Films of a width 120 mm in rolls"
"37024420","Cinematographic film"
"37024490","Other"
"370252  ","Of a width not exceeding 16 mm:"
"37025210","Finished rolls of cinematographic positive"
"37025220","Other cinematographic film"
"37025290","Other"
"37025300","Of a width exceeding 16 mm but not exceeding 35mm and of a length not exceeding 30 m, for slides"
"370254  ","Of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m, other than for slides:"
"37025410","Finished rolls of cinematographic positive"
"37025420","Other cinematographic film"
"37025490","Other"
"370255  ","Of a width exceeding 16 mm but not exceeding 35 mm and of a length exceeding 30 m:"
"37025510","Finished rolls of cinematographic positive"
"37025520","Other cinematographic film"
"37025590","Other"
"370256  ","Of a width exceeding 35 mm:"
"37025610","Finished rolls of cinematographic positive"
"37025620","Other cinematographic film"
"37025690","Other"
"370296  ","Of a width not exceeding 35 mm and of a length exceeding 30 m:"
"37029611","Not exceeding 16 mm"
"37029619","Other"
"370297  ","Of a width not exceeding 35 mm and of a length exceeding 30 m:"
"370297 1","Not exceeding 16 mm"
"370298  ","Of a width exceeding 35 mm:"
"37029810","Cinematographic film"
"37029890","Other"
"3703    ","PHOTOGRAPHIC PAPER, PAPER BOARD AND TEXTILES SENSITISED, UNEXPOSED"
"370310  ","In rolls of a width exceeding 610 mm:"
"37031010","Photographic paper or paperboard"
"37031020","Textiles"
"370320  ","Other, for colour photography (polychrome):"
"37032010","Photographic paper or paperboard"
"37032020","Textiles"
"370390  ","Other:"
"37039010","Photographic paper or paperboard"
"37039020","Textiles"
"3704    ","PHOTOGRAPHIC PLATES, FILM, PAPER, PAPER BOARD AND TEXTILES, EXPOSED BUT NOT DEVELOPED"
"370400  ","Photographic plates, film, paper, paper board and textiles, exposed but not developed:"
"37040010","Photographic paper, or paperboard"
"37040020","Cinematographic plates and film"
"37040030","Sensitised Textiles"
"37040090","Other"
"3705    ","PHOTOGRAPHIC PLATES AND FILM, EXPOSED AND DEVELOPED,OTHER THAN CINEMATOGRAPHIC FILM"
"37051000","For offset reproduction"
"370590  ","Other:"
"37059010","Microfiches"
"37059090","Other"
"3706    ","CINEMATOGRAPHIC FILM, EXPOSED AND DEVELOPED, WHETHER OR NOT INCORPORATING SOUND TRACK OR CONSISTING ONLY OF SOUND TRACK"
"370610  ","Of a width 35 mm or more:"
"37061011","Made wholly in black and white and of a length not exceeding 4,000 m"
"37061012","Made wholly in black and white and of a length exceeding 4,000 m"
"37061013","Made wholly or partly in colour and of a length not exceeding 4,000 m"
"37061014","Made wholly or partly in colour and of a length exceeding 4,000 m"
"37061015","Children’s films certified by the Central Board of Film Certification to be “Children’s Film”"
"37061020","Documentary Shorts, and Films certified as such by the Central Board of Film Certification"
"37061030","News Reels and clippings"
"37061041","Made wholly in black and white"
"37061042","Made wholly or partly in colour"
"37061051","Patch prints, including Logos intended exclusively for the entertainment of children."
"37061052","Children’s film certified by the Central Board of Films Certification to be Children’s Film"
"37061059","Other"
"37061061","Certified as predominantly educational by the Central Board of Film Certification"
"37061062","Patch prints, including logos intended exclusively for educational purposes."
"37061063","Teaching aids including film strips of educational nature"
"37061069","Other"
"37061070","Short films not elsewhere specified or included"
"37061091","Audio-Visual news or Audio-Visual views materials including news clippings"
"37061092","Master Positives, exposed negatives, dupes and rush prints as are not cleared for Public exhibitions."
"37061099","Other"
"370690  ","Other:"
"37069011","Made wholly in black and white and of a length not exceeding 4,000 m"
"37069012","Made wholly in black and white and of a length exceeding 4,000 m"
"37069013","Made wholly or partly in colour and of a length not exceeding 4,000 m"
"37069014","Made wholly or partly in colour and of a length exceeding 4,000 m"
"37069015","Children’s films certified by the Central Board of Film Certification to be “Children’s Film”"
"37069020","Documentary Shorts, and Films certified as such by the Central Board of Film Certification"
"37069030","News Reels and clippings"
"37069041","Made wholly in black and white"
"37069042","Made wholly or partly in colour"
"37069051","Patch prints, including Logos intended exclusively for the entertainment of children."
"37069052","Children’s film certified by the Central Board of Films Certification to be Children’s Film"
"37069059","Other"
"37069061","Certified as predominantly educational by the Central Board of Film Certification"
"37069062","Patch prints, including logos intended exclusively for educational purposes"
"37069063","Teaching aids including film strips of educational nature"
"37069064","Certified as predominantly educational, by Central Board of Film Certification, of width below 30 mm"
"37069069","Other"
"37069070","Short film not elsewhere specified"
"37069091","Audio-Visual news or Audio-Visual views materials including news clippings."
"37069092","Master Positives, exposed negatives, dupes and rush prints as are not cleared for Public exhibitions."
"37069099","Other"
